,month,day,counts
0,01,02,1
1,01,08,2
2,01,10,4
3,01,12,1
4,01,13,2
5,01,15,7
6,01,16,2
7,01,17,2
8,01,22,1
9,01,24,13
10,01,25,3
11,01,27,6
12,02,03,1
13,02,09,2
14,02,11,2
15,02,13,2
16,02,14,8
17,02,15,2
18,02,17,2
19,03,07,2
20,03,23,2
21,03,26,5
22,04,04,1
23,04,07,3
24,04,09,2
25,04,11,5
26,04,12,32
27,04,13,3
28,04,14,12
29,04,15,18
30,04,16,3
31,04,17,35
32,04,18,25
33,04,19,23
34,04,20,42
35,04,21,26
36,04,22,73
37,04,23,57
38,04,24,93
39,04,25,158
40,04,26,30
41,04,27,24
42,04,28,42
43,04,29,69
44,04,30,43
45,05,01,32
46,05,02,39
47,05,03,37
48,05,04,37
49,05,05,115
50,05,06,41
51,05,07,83
52,05,08,108
53,05,09,108
54,05,10,196
55,05,11,112
56,05,12,149
57,05,13,234
58,05,14,152
59,05,15,289
60,05,16,595
61,05,17,583
62,05,18,526
63,05,19,1126
64,05,20,952
65,05,21,1103
66,05,22,917
67,05,23,968
68,05,24,488
69,05,25,681
70,05,26,339
71,05,27,280
72,05,28,80
73,05,29,85
74,05,30,166
75,05,31,63
76,06,01,12
77,06,02,69
78,06,03,13
79,06,04,49
80,06,05,56
81,06,06,2
82,06,07,1
83,06,08,3
84,06,11,8
85,06,14,13
86,07,12,3
87,07,23,5
88,08,05,2
89,08,06,4
90,08,10,3
91,08,12,2
92,08,17,4
93,08,20,3
94,08,22,3
95,08,25,1
96,08,27,10
97,08,28,6
98,08,30,9
99,09,01,2
100,09,02,5
101,09,03,6
102,09,04,4
103,09,05,2
104,09,06,2
105,09,07,15
106,09,08,14
107,09,09,3
108,09,10,13
109,09,11,3
110,09,12,11
111,09,13,6
112,09,14,5
113,09,15,9
114,09,16,15
115,09,17,5
116,09,18,11
117,09,19,2
118,09,20,12
119,09,21,9
120,09,22,7
121,09,23,5
122,09,24,23
123,09,25,34
124,09,26,42
125,09,27,14
126,09,28,22
127,09,29,28
128,09,30,20
129,10,01,31
130,10,02,35
131,10,03,24
132,10,04,46
133,10,05,35
134,10,06,43
135,10,07,72
136,10,08,46
137,10,09,67
138,10,10,27
139,10,11,39
140,10,12,18
141,10,13,18
142,10,14,43
143,10,15,36
144,10,16,20
145,10,17,16
146,10,18,19
147,10,19,10
148,10,20,9
149,10,21,2
150,10,23,3
151,10,24,10
152,10,25,6
153,10,26,4
154,10,27,1
155,10,28,13
156,10,30,14
157,10,31,6
158,11,01,2
159,11,02,7
160,11,03,1
161,11,04,3
162,11,06,2
163,11,12,1
164,11,13,1
165,11,14,6
166,11,16,1
167,11,19,3
168,11,20,9
169,11,21,3
170,12,07,6
171,12,08,3
172,12,10,2
173,12,13,1
174,12,14,6
175,12,15,2
176,12,16,4
177,12,18,2
178,12,20,8
179,12,21,3
180,12,22,15
181,12,26,1
182,12,27,5
183,12,28,2
184,12,29,2
