,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,APPROXIMATE,"Argentière, 74400 Chamonix, France",ChIJn9yry7xMiUcRKy3DvNdKSSc,"Argentiere, Haute-Savoie, France",45.983986,6.926873,1,74400,OK,"political,sublocality,sublocality_level_1"
1,APPROXIMATE,"74310 Les Houches, France",ChIJI3AKp1JQiUcRcJ665CqrCAQ,"Les Houches, Haute-Savoie, France",45.890388,6.798735,1,74310,OK,"locality,political"
2,GEOMETRIC_CENTER,"Route de Troyes, 51120 Sézanne, France",ChIJfxmlQ28y6UcRmmPMtYAxKVs,"Troyes, Val-de-Marne, France",48.7099511,3.7326581,1,51120,OK,route
3,APPROXIMATE,"74400 Chamonix, France",ChIJ5y7-LQZMiUcRgKO65CqrCAQ,"Chamonix, Haute-Savoie, France",45.923697,6.869433,1,74400,OK,"locality,political"
4,APPROXIMATE,"74310 Les Houches, France",ChIJI3AKp1JQiUcRcJ665CqrCAQ,"Les Houches, Haute-Savoie, France",45.890388,6.798735,1,74310,OK,"locality,political"
5,APPROXIMATE,"74310 Les Houches, France",ChIJI3AKp1JQiUcRcJ665CqrCAQ,"Les Houches, Haute-Savoie, France",45.890388,6.798735,1,74310,OK,"locality,political"
6,APPROXIMATE,"74310 Les Houches, France",ChIJI3AKp1JQiUcRcJ665CqrCAQ,"Les Houches, Haute-Savoie, France",45.890388,6.798735,1,74310,OK,"locality,political"
7,APPROXIMATE,"Marseille, France",ChIJM1PaREO_yRIRIAKX_aUZCAQ,"Marseille, Bouches-du-Rhone, France",43.296482,5.36978,1,,OK,"locality,political"
8,APPROXIMATE,"Ventura, CA, USA",ChIJTTmXUBWt6YAR6Op6Nnz17yQ,"Ventura, California",34.274646,-119.2290316,1,,OK,"locality,political"
9,APPROXIMATE,"Manchester, UK",ChIJ2_UmUkxNekgRqmv-BDgUvtk,"Manchester, England",53.4807593,-2.2426305,1,,OK,"locality,political"
10,APPROXIMATE,"Denver, CO, USA",ChIJzxcfI6qAa4cR1jaKJ_j0jhE,"Denver, Colorado",39.7392358,-104.990251,1,,OK,"locality,political"
11,APPROXIMATE,"Vail, CO 81657, USA",ChIJB89dUQVwaocRxKOafh_AzMk,"Vail, Colorado",39.6402638,-106.3741955,1,81657,OK,"locality,political"
12,APPROXIMATE,"Denver, CO, USA",ChIJzxcfI6qAa4cR1jaKJ_j0jhE,"Denver, Colorado",39.7392358,-104.990251,1,,OK,"locality,political"
13,APPROXIMATE,"Glenwood Springs, CO 81601, USA",ChIJ-XofNJcJQYcRJRFhTBNZfow,"Glenwood Springs, Colorado",39.5505376,-107.3247762,1,81601,OK,"locality,political"
14,APPROXIMATE,"Vail, CO 81657, USA",ChIJB89dUQVwaocRxKOafh_AzMk,"Vail, Colorado",39.6402638,-106.3741955,1,81657,OK,"locality,political"
15,APPROXIMATE,"Boulder, CO, USA",ChIJ06-NJ06Na4cRWIAboHw7Ocg,"Boulder, Colorado",40.0149856,-105.2705456,1,,OK,"locality,political"
16,APPROXIMATE,"Jamestown, CO, USA",ChIJZTl5qZDna4cR5pFPnUu2B2Y,"Jamestown, Colorado",40.1155412,-105.3886051,1,,OK,"locality,political"
17,APPROXIMATE,"Ogden, UT, USA",ChIJe02c2pQOU4cRLLM0e9fcYQA,"Ogden, Utah",41.223,-111.9738304,1,,OK,"locality,political"
18,APPROXIMATE,"Lafayette, CO, USA",ChIJw8KoeGzza4cRBNat_qxzXnc,"Lafayette, Colorado",39.9935959,-105.0897058,1,,OK,"locality,political"
19,APPROXIMATE,"Jackson, WY, USA",ChIJS3_P_FgaU1MRXIM6scsBHD0,"Jackson, Wyoming",43.4799291,-110.7624282,1,,OK,"locality,political"
20,APPROXIMATE,"Mammoth Lakes, CA 93546, USA",ChIJnxezeV8MloARbY3uD9fZFPE,"Mammoth Lakes, California",37.648546,-118.972079,1,93546,OK,"locality,political"
21,APPROXIMATE,"Lakewood, CO, USA",ChIJt3LdXG-Ba4cRl87Q8fpdkJ4,"Lakewood, Colorado",39.7047095,-105.0813734,1,,OK,"locality,political"
22,APPROXIMATE,"Lakewood, CO, USA",ChIJt3LdXG-Ba4cRl87Q8fpdkJ4,"Lakewood, Colorado",39.7047095,-105.0813734,1,,OK,"locality,political"
23,APPROXIMATE,"Aspen, CO 81611, USA",ChIJfTxB93w5QIcRcvYseNxCK8E,"Aspen, Colorado",39.1910983,-106.8175387,1,81611,OK,"locality,political"
24,APPROXIMATE,"Khunde, Khumjung 56000, Nepal",ChIJdYrACuQI6TkRA7QSAyNCKrs,"Khunde, Khumbu",27.823514,86.7057931,1,56000,OK,"neighborhood,political"
25,APPROXIMATE,"Paris, France",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",48.856614,2.3522219,1,,OK,"locality,political"
26,APPROXIMATE,"05340 Pelvoux, France",ChIJyYxb8Ln4iUcR8KSX_aUZCAQ,"Pelvoux, Hautes-Alpes, France",44.9138562,6.4071141,1,05340,OK,"locality,political"
27,APPROXIMATE,"74170 Saint-Gervais-les-Bains, France",ChIJ75odSANXiUcRd6tzAmzNWaY,"St. Gervais, Haute-Savoie, France",45.892013,6.712187,1,74170,OK,"locality,political"
28,APPROXIMATE,"Grenoble, France",ChIJb76J1ov0ikcRmFOZbs0QjGE,"Grenoble, Isere, France",45.188529,5.724524,1,,OK,"locality,political"
29,APPROXIMATE,"Grenoble, France",ChIJb76J1ov0ikcRmFOZbs0QjGE,"Grenoble, Isere, France",45.188529,5.724524,1,,OK,"locality,political"
30,APPROXIMATE,"05120 Les Vigneaux, France",ChIJb7w6CXj9iUcRNlLr17uMnyQ,"Les Vigneaux, Hautes-Alpes, France",44.823422,6.541893,1,05120,OK,"locality,political"
31,APPROXIMATE,"05120 Les Vigneaux, France",ChIJb7w6CXj9iUcRNlLr17uMnyQ,"Les Vigneaux, Hautes-Alpes, France",44.823422,6.541893,1,05120,OK,"locality,political"
32,APPROXIMATE,"05240 La Salle-les-Alpes, France",ChIJcxLuY376iUcRYKGX_aUZCAQ,"La Salle-les-Alpes, Hautes-Alpes, France",44.9444609,6.566546,1,05240,OK,"locality,political"
33,APPROXIMATE,"05460 Abriès, France",ChIJv8a10pXXiUcR8KqX_aUZCAQ,"Abries, Hautes-Alpes, France",44.793991,6.927618,1,05460,OK,"locality,political"
34,APPROXIMATE,"05100 Briançon, France",ChIJEUF0A2jkiUcRoKmX_aUZCAQ,"Briancon, Hautes-Alpes, France",44.899416,6.643179,1,05100,OK,"locality,political"
35,APPROXIMATE,"Paris, France",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",48.856614,2.3522219,1,,OK,"locality,political"
