,PKNAME,LOCATION,HEIGHTM,HIMAL,PYEAR,PSUMMITERS,firstsummitdate,latitude,longitude
0,Ama Dablam,Khumbu Himal,6814,12,1961,"Mike Gill, Wally Romanes, Barry Bishop, Michael Ward",Mar 13 1961,27.8618748,86.8611631
1,Amphu Gyabjen,Khumbu Himal (N of Ama Dablam),5630,12,1953,"John Hunt, Tom Bourdillon",Apr 11 1953,27.878611,86.871389
2,Annapurna I,Annapurna Himal,8091,1,1950,"Maurice Herzog, Louis Lachenal",Jun 03 1950,28.596111,83.820278
3,Annapurna II,Annapurna Himal,7937,1,1960,"Richard Grant, Chris Bonington, Ang Nyima Sherpa",May 17 1960,28.535,84.1224999
4,Annapurna III,Annapurna Himal,7555,1,1961,"Mohan S. Kohli, Sonam Gyatso, Sonam Girmi",May 06 1961,28.585,83.9908333
5,Annapurna IV,Annapurna Himal,7525,1,1955,"Heinz Steinmetz, Harald Biller, Juergen Wellenkamp",May 30 1955,28.596111,83.820278
6,Annapurna I East Smt,Annapurna Himal (ENE of Annapurna I),8026,1,1974,"Jose Manuel Anglada Nieto, Jorge Pons Sangines, Emilio Givis Abad",Apr 29 1974,28.597,83.833
7,Annapurna I Middle Smt,Annapurna Himal (ENE of Annapurna I),8051,1,1980,"Udo Boening, Ludwig Greissl, Heinz Oberrauch",Oct 03 1980,28.596,83.827
8,Annapurna South,Annapurna Himal (S of Annapurna I and Fang),7219,1,1964,"Shiochiro Uyeo, Mingma Tsering Sherpa",Oct 15 1964,28.5183333,83.8058333
9,Api Main,Api Himal,7132,2,1960,"Katsutoshi Hirabayashi, Gyaltsen Norbu Sherpa",May 10 1960,30.004167,80.933333
10,Api West,Api Himal (W of Api),7076,2,0,Unclimbed,,30.0,80.932222
11,Baruntse,Khumbu Himal (W of Makalu),7152,12,1954,"Colin Todd, Geoff Harrow",May 29 1954,27.8719444,86.9819444
12,Baudha,Mansiri Himal (SE of Manaslu and Himalchuli),6672,15,1970,"Yoshiyuki Kobayashi, Kiyoyasu Shibata",May 02 1970,28.378611,84.677222
13,Bhemdang Ri,Jugal Himal (NNW of Dorje Lhakpa),6150,8,1964,"Tetsuya Kondo, Soshiro Sasaki, Mingma Tshering Sherpa",May 10 1964,28.273611,85.665556
14,Bhrikuti,Damodar Himal (NE of Thorong La near Tibetan border),6476,3,1982,"Takashi Sakuma, Masanobu Tsuchiya, Tashi Jangbu Sherpa",May 18 1982,28.918889,84.1475
15,Bobaye,Api Himal (S of Nampa),6808,2,1996,Tomaz Humar,Nov 02 1996,29.958321,81.021302
16,Chamlang,"Khumbu Himal (in Hongku Valley, SW of Makalu)",7321,12,1962,"So Anma, Pasang Phutar Sherpa (I)",May 31 1962,27.775,86.9791666
17,Changla,Changla Himal (N of Jumla on Tibetan border),6563,17,2010,"Hirofumi Kobayashi, Seiya Nakasukasa, Yuta Shibayama, Naoki Yamaguchi",Sep 27 2010,30.303056,82.128889
18,Chamar North,Shringi Himal,7165,5,1953,"Maurice Bishop, Nyamgel Sherpa",Jun 05 1953,28.555278,84.945278
19,Cheo Himal,Peri Himal (ESE of Himlung Himal on Tibetan border),6820,18,1991,"Dambar Bahadur Gurung, Shigeki Imoto, Ful Bahadur Rai, Pasang Tshering Sherpa",Oct 13 1991,28.764444,84.451667
20,Cho Oyu,Khumbu Himal (NW of Everest on Tibetan border),8188,12,1954,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama",Oct 19 1954,28.0972891,86.658475
21,Chobuje,Rolwaling Himal (NE of Tsho Rolpa),6686,19,1972,"Wolfgang Weinzierl, Peter Vogler, Gustav Harder, Klaus Harder",Apr 24 1972,27.880556,86.4925
22,Cholatse,Khumbu Himal (N of Tawoche),6423,12,1982,"John Roskelley, Galen Rowell, Vern Clevenger, Bill O'Connor",Apr 22 1982,27.885,86.771667
23,Cho Polu,"Khumbu Himal (S of Shartse, N of Baruntse)",6700,12,1984,Nil Bohigas Martorell,Nov 1984,27.919167,86.981944
24,Chulu Central,Damodar Himal (E of Thorong La),6584,3,1955,"Heinz Steinmetz, Harald Biller, Fritz Lobbichler, Juergen Wellenkamp",Jul 23 1955,28.74138889,84.02805556
25,Chukyima Go,Rolwaling Himal (WSW of Tesi Laptsa),6258,19,2014,"Domen Kastelic, Sam Hennessey",Nov 12 2014,27.832433,86.450005
26,Churen Himal Central,Dhaulagiri Himal (NW of Dhaulagiri VI),7385,4,1970,"Masayoshi Fukui, Kozo Hasegawa",Oct 24 1970,28.735,83.216
27,Chulu West,Damodar Himal (E of Thorong La),6419,3,1952,"Kinji Imanishi, Kazuhiko Hayashi, Sasuke Nakao, Jiro Taguchi, Masataka Takagi, Sakuta Takebushi",Oct 23 1952,28.7358333,84.0341666
28,Taple Shikhar,Kangchenjunga Himal (W of Nepal Peak),6447,9,1998,"Misako Miyazawa, Gumba Sherpa, Kancha Sunwar Sherpa, Pemba Lama Sherpa",Oct 08 1998,27.750833,88.15
29,Changtse,Khumbu Himal,7583,12,1982,Udo Zehetleitner,Oct 14 1982,28.0258333,86.9091666
30,Dhaulagiri I,Dhaulagiri Himal,8167,4,1960,"Peter Diener, Kurt Diemberger, Albin Schelbert, Ernst Forrer, Nima Dorje Sherpa, Nawang Dorje Sherpa",May 13 1960,28.6966666,83.4941666
31,Dhaulagiri II,Dhaulagiri Himal (NW of Dhaulagiri I),7751,4,1971,"Adolf Huber, Ronald Fear, Adi Weissensteiner, Jangbu Sherpa",May 18 1971,28.7633333,83.3883333
32,Dhaulagiri III,Dhaulagiri Himal (SW of Dhaulagiri II),7715,4,1973,"Klaus Schreckenbach, Gerhard Haberl, Hans Saler",Oct 20 1973,28.754444,83.379444
33,Dhaulagiri IV,Dhaulagiri Himal (W of Dhaulagiri V),7661,4,1975,"Shiro Kawazu, Etsuro Yasuda",May 09 1975,28.738611,83.315278
34,Dhaulagiri V,Dhaulagiri Himal (SW of Dhaulagiri III),7618,4,1975,"Masaaki Morioka, Pemba Tsering Sherpa",May 01 1975,28.734444,83.365556
35,Dhaulagiri VI,Dhaulagiri Himal (WSW of Dhaulagiri IV),7268,4,1970,"Shiro Kawazu, Shoichi Kimura, Hisazumi Nakamura, Seijiro Yamamura",Apr 17 1970,28.708333,83.275278
36,Dhampus,Mukut Himal (NE of Dhaulagiri I and Tukuche),6012,16,1960,Kurt Diemberger,Apr 1960,28.798,83.605
37,Dogari,Dhaulagiri Himal (WNW of Putha Hiunchuli),6536,4,0,Unclimbed,,28.767222,83.100833
38,Pemthang Karpo Ri,Jugal Himal (NNW of Dorje Lhakpa on Tibetan border),6865,8,1955,"Raymond Lambert, Ang Norbu Sherpa, Kami Tshering Sherpa, Pasang Sherpa, Pemba Gyaltzen Sherpa",May 14 1955,28.249167,85.750556
39,Dorje Lhakpa,Jugal Himal (near Tibetan border),6966,8,1981,"Kunio Kataoka, Makoto Anbe, Kazunari Murakami, Eiichi Shingyoji, Pemba Tsering Sherpa",Oct 18 1981,28.1741666,85.7791666
40,Drangnag Ri,Rolwaling Himal (N of Tesi Laptsa near Tibetan border),6757,19,1995,"Chris Bonington, Ralph Hoibakk, Bjorn Myrer-Lund, Lhakpa Gyalu Sherpa, Pema Dorje Sherpa",Apr 30 1995,27.9563128,86.6878836
41,Drohmo,Jongsang Himal (NNW of Kangchenjunga),6881,7,0,Main summit unclimbed,,27.8241666,88.1024999
42,Everest,Khumbu Himal,8850,12,1953,"Edmund Hillary, Tenzing Norgay Sherpa",May 29 1953,27.988056,86.925278
43,Fang,Annapurna Himal (SW of Annapurna I),7647,1,1980,"Sepp Mayerl, Hermann Neumair, Ang Chepal Sherpa",May 17 1980,28.578131,83.80133
44,Firnkopf,Saipal Himal (W of Saipal),6730,20,0,Unclimbed,,29.89306,81.43139
45,Firnkopf West,Saipal Himal (WSW of Firnkopf),6745,20,1987,"Franz Kroell, Fritz Mross, Ang Chopal Sherpa",Oct 25 1987,29.883333,81.433333
46,Gama Peak,"Dhaulagiri Himal (N of Dhaulagiri VI, S of Junction Peak)",7187,4,1970,"Goro Nabeyama, Katsuhiro Nakashima",Oct 25 1970,28.716739,83.277093
47,Ganesh I,Ganesh Himal (on Tibetan border),7422,5,1955,"Raymond Lambert, Eric Gauchat, Claude Kogan",Oct 24 1955,28.391526,85.127064
48,Ganesh III,Ganesh Himal (S of Ganesh I on Tibetan border),7043,5,1979,"Hideo Ogura, Pemba Tshering Sherpa, Dawa Norbu Sherpa",Oct 19 1979,28.335278,85.122
49,Ganesh II,Ganesh Himal (WSW of Ganesh I),7118,5,1981,"Hermann Warth, Ang Chepal Sherpa, Nga Temba Sherpa, Nima Tenzing Sherpa",Oct 16 1981,28.379,85.057
50,Ganesh IV,Ganesh Himal (SW of Ganesh I),7104,5,1978,"T Tomita, H Yoshio, K Aoyagi, M Hashimoto, Y Hashimoto, Y Okuma, T Shimoji, T Suzuki, I Yasuda, Yogendra Thapa, Kamal Bhandari, Mingma Tenzing Sherpa, Sonan Wolang Sherpa",Oct 20 1978,28.346,85.08
51,Ganesh V,Ganesh Himal (SE of Ganesh I on Tibetan border),6770,5,1980,"Tatsumi Sasaki, Akihiko Komori, Lhakpa Dorje Sherpa, Nima Tenzing Sherpa, Nima Nuru Sherpa",Apr 21 1980,28.332,85.159
