,PEAKID,PKNAME,PKNAME2,LOCATION,HEIGHTM,HEIGHTF,HIMAL,REGION,OPEN,UNLISTED,TREKKING,TREKYEAR,RESTRICT,PHOST,PSTATUS,PEAKMEMO,PYEAR,PSEASON,PEXPID,PSMTDATE,PCOUNTRY,PSUMMITERS,PSMTNOTE,REFERMEMO,PHOTOMEMO,firstsummitdate,Unnamed: 0,accuracy,formatted_address,google_place_id,latitude,longitude,number_of_results,postcode,status,type
0,AMAD,Ama Dablam,Amai Dablang,Khumbu Himal,6814,22356,12,2,True,False,False,,,1,2,,1961,1,AMAD61101,Mar 13,"New Zealand, USA, UK","Mike Gill, Wally Romanes, Barry Bishop, Michael Ward",,,,Mar 13 1961,0,APPROXIMATE,"Ama Dablam, Khumjung 56000, Nepal",ChIJPSR3_fQA6TkRCwmkOk-rmqE,27.8618748,86.8611631,1,56000,OK,"establishment,natural_feature"
1,AMPG,Amphu Gyabjen,,Khumbu Himal (N of Ama Dablam),5630,18471,12,2,True,False,False,,Opened in 2002,1,2,,1953,1,AMPG53101,Apr 11,UK,"John Hunt, Tom Bourdillon",,,,Apr 11 1953,1,,,,27.878611,86.871389,0,,ZERO_RESULTS,
2,ANN1,Annapurna I,,Annapurna Himal,8091,26545,1,5,True,False,False,,,1,2,,1950,1,ANN150101,Jun 03,France,"Maurice Herzog, Louis Lachenal",,,,Jun 03 1950,2,APPROXIMATE,"Annapurna, Narchyang, Nepal",ChIJ94QfBUQcvjkR-zkLX9K-HJQ,28.596111,83.820278,1,,OK,"establishment,natural_feature"
3,ANN2,Annapurna II,,Annapurna Himal,7937,26040,1,5,True,False,False,,,1,2,,1960,1,ANN260101,May 17,"UK, Nepal","Richard Grant, Chris Bonington, Ang Nyima Sherpa",,,,May 17 1960,3,APPROXIMATE,"Annapurna II, Pisang 33500, Nepal",ChIJ_RjyDu6HlTkR57RJ_hTlGtA,28.535,84.1224999,1,33500,OK,"establishment,natural_feature"
4,ANN3,Annapurna III,,Annapurna Himal,7555,24787,1,5,True,False,False,,,1,2,,1961,1,ANN361101,May 06,India,"Mohan S. Kohli, Sonam Gyatso, Sonam Girmi",,,,May 06 1961,4,APPROXIMATE,"Annapurna III, Machhapuchchhre 33700, Nepal",ChIJaRhQjuEgvjkRncMG76M7Y1M,28.585,83.9908333,1,33700,OK,"establishment,natural_feature"
5,ANN4,Annapurna IV,,Annapurna Himal,7525,24688,1,5,True,False,False,,,1,2,,1955,1,ANN455101,May 30,W Germany,"Heinz Steinmetz, Harald Biller, Juergen Wellenkamp",,,,May 30 1955,5,APPROXIMATE,"Annapurna, Narchyang, Nepal",ChIJ94QfBUQcvjkR-zkLX9K-HJQ,28.596111,83.820278,1,,OK,"establishment,natural_feature"
6,ANNE,Annapurna I East Smt,,Annapurna Himal (ENE of Annapurna I),8026,26332,1,5,True,False,False,,Requires permit for Annapurna I,1,2,,1974,1,ANNE74101,Apr 29,Spain,"Jose Manuel Anglada Nieto, Jorge Pons Sangines, Emilio Givis Abad",,,,Apr 29 1974,6,ROOFTOP,"119 Park Ave, Summit, NJ 07901, USA",ChIJ94Rt2U6uw4kRQMwSee8guMk,28.597,83.833,2,07901,OK,"establishment,gym,health,point_of_interest"
7,ANNM,Annapurna I Middle Smt,,Annapurna Himal (ENE of Annapurna I),8051,26414,1,5,True,False,False,,Requires permit for Annapurna I,1,2,,1980,3,ANNM80301,Oct 03,W Germany,"Udo Boening, Ludwig Greissl, Heinz Oberrauch",,,,Oct 03 1980,7,,,,28.596,83.827,0,,ZERO_RESULTS,
8,ANNS,Annapurna South,"Annapurna Dakshin, Moditse",Annapurna Himal (S of Annapurna I and Fang),7219,23684,1,5,True,False,False,,,1,2,,1964,3,ANNS64301,Oct 15,"Japan, Nepal","Shiochiro Uyeo, Mingma Tsering Sherpa",,,,Oct 15 1964,8,APPROXIMATE,"Annapurna Dakshin, Ghandruk 33700, Nepal",ChIJFSxT2zL2lTkR6_cz4PlfALk,28.5183333,83.8058333,1,33700,OK,"establishment,natural_feature"
9,APIM,Api Main,,Api Himal,7132,23399,2,7,True,False,False,,,1,2,,1960,1,APIM60101,May 10,"Japan, Nepal","Katsutoshi Hirabayashi, Gyaltsen Norbu Sherpa",1st ascent claimed by UK (H. S. Landor) in 1899 but probably reached only 5000m,,,May 10 1960,9,ROOFTOP,"1108 E Main St, Clarion, PA 16214, USA",ChIJZZG2M8jMzIkR3nSzkNd0UQo,30.004167,80.933333,2,16214,OK,"car_repair,establishment,point_of_interest,store"
