,month,day,counts
0,01,01,3
1,01,02,13
2,01,03,24
3,01,04,23
4,01,05,6
5,01,06,24
6,01,07,4
7,01,08,12
8,01,09,2
9,01,10,15
10,01,11,2
11,01,12,7
12,01,13,4
13,01,14,19
14,01,15,20
15,01,16,19
16,01,17,3
17,01,18,2
18,01,19,7
19,01,20,4
20,01,21,6
21,01,22,6
22,01,24,24
23,01,25,13
24,01,26,3
25,01,27,9
26,01,28,3
27,01,29,3
28,01,30,5
29,01,31,3
30,02,02,4
31,02,03,3
32,02,04,8
33,02,06,1
34,02,07,4
35,02,08,9
36,02,09,13
37,02,10,4
38,02,11,4
39,02,12,2
40,02,13,5
41,02,14,8
42,02,15,11
43,02,17,2
44,02,24,2
45,03,07,2
46,03,08,6
47,03,09,2
48,03,12,4
49,03,13,4
50,03,14,5
51,03,15,11
52,03,16,3
53,03,17,4
54,03,18,20
55,03,19,12
56,03,20,2
57,03,23,18
58,03,24,35
59,03,25,12
60,03,26,7
61,03,27,12
62,03,28,17
63,03,29,20
64,03,30,4
65,03,31,19
66,04,01,27
67,04,02,15
68,04,03,16
69,04,04,27
70,04,05,21
71,04,06,30
72,04,07,27
73,04,08,30
74,04,09,39
75,04,10,37
76,04,11,60
77,04,12,92
78,04,13,37
79,04,14,65
80,04,15,60
81,04,16,47
82,04,17,111
83,04,18,109
84,04,19,125
85,04,20,167
86,04,21,126
87,04,22,205
88,04,23,202
89,04,24,248
90,04,25,328
91,04,26,196
92,04,27,219
93,04,28,261
94,04,29,321
95,04,30,299
96,05,01,377
97,05,02,233
98,05,03,275
99,05,04,331
100,05,05,358
101,05,06,285
102,05,07,325
103,05,08,414
104,05,09,510
105,05,10,575
106,05,11,380
107,05,12,413
108,05,13,557
109,05,14,501
110,05,15,608
111,05,16,967
112,05,17,974
113,05,18,914
114,05,19,1579
115,05,20,1273
116,05,21,1406
117,05,22,1153
118,05,23,1185
119,05,24,668
120,05,25,891
121,05,26,503
122,05,27,364
123,05,28,123
124,05,29,144
125,05,30,205
126,05,31,103
127,06,01,38
128,06,02,84
129,06,03,32
130,06,04,74
131,06,05,71
132,06,06,12
133,06,07,7
134,06,08,14
135,06,09,6
136,06,10,4
137,06,11,14
138,06,12,3
139,06,13,2
140,06,14,22
141,06,15,4
142,06,16,5
143,06,17,8
144,06,18,4
145,06,21,8
146,06,22,1
147,06,25,13
148,06,26,13
149,06,27,3
150,06,28,6
151,06,30,5
152,07,02,3
153,07,03,7
154,07,04,4
155,07,05,6
156,07,06,7
157,07,07,14
158,07,09,4
159,07,10,3
160,07,12,3
161,07,14,3
162,07,15,3
163,07,17,2
164,07,18,6
165,07,20,6
166,07,23,9
167,07,24,4
168,07,29,4
169,07,30,1
170,08,03,7
171,08,05,11
172,08,06,4
173,08,09,5
174,08,10,8
175,08,12,9
176,08,13,13
177,08,14,11
178,08,15,7
179,08,16,43
180,08,17,12
181,08,18,5
182,08,19,3
183,08,20,3
184,08,22,5
185,08,23,3
186,08,25,1
187,08,26,6
188,08,27,15
189,08,28,9
190,08,29,7
191,08,30,9
192,08,31,4
193,09,01,10
194,09,02,9
195,09,03,14
196,09,04,14
197,09,05,11
198,09,06,2
199,09,07,33
200,09,08,32
201,09,09,20
202,09,10,39
203,09,11,33
204,09,12,70
205,09,13,25
206,09,14,84
207,09,15,78
208,09,16,86
209,09,17,89
210,09,18,110
211,09,19,161
212,09,20,182
213,09,21,208
214,09,22,214
215,09,23,189
216,09,24,377
217,09,25,384
218,09,26,433
219,09,27,422
220,09,28,407
221,09,29,430
222,09,30,682
223,10,01,902
224,10,02,672
225,10,03,460
226,10,04,451
227,10,05,366
228,10,06,300
229,10,07,321
230,10,08,335
231,10,09,304
232,10,10,336
233,10,11,337
234,10,12,305
235,10,13,327
236,10,14,332
237,10,15,387
238,10,16,380
239,10,17,379
240,10,18,421
241,10,19,381
242,10,20,486
243,10,21,370
244,10,22,470
245,10,23,421
246,10,24,342
247,10,25,400
248,10,26,379
249,10,27,349
250,10,28,382
251,10,29,366
252,10,30,326
253,10,31,259
254,11,01,279
255,11,02,304
256,11,03,320
257,11,04,328
258,11,05,266
259,11,06,219
260,11,07,185
261,11,08,189
262,11,09,132
263,11,10,134
264,11,11,175
265,11,12,140
266,11,13,113
267,11,14,78
268,11,15,104
269,11,16,61
270,11,17,74
271,11,18,76
272,11,19,60
273,11,20,120
274,11,21,112
275,11,22,72
276,11,23,32
277,11,24,32
278,11,25,57
279,11,26,49
280,11,27,9
281,11,28,30
282,11,29,27
283,11,30,38
284,12,01,47
285,12,02,43
286,12,03,39
287,12,04,43
288,12,05,28
289,12,06,64
290,12,07,61
291,12,08,37
292,12,09,27
293,12,10,17
294,12,11,34
295,12,12,11
296,12,13,13
297,12,14,26
298,12,15,20
299,12,16,26
300,12,17,32
301,12,18,39
302,12,19,19
303,12,20,24
304,12,21,8
305,12,22,37
306,12,23,15
307,12,24,31
308,12,25,13
309,12,26,8
310,12,27,14
311,12,28,10
312,12,29,8
313,12,30,7
314,12,31,5
