Name,Category,Count
Alpine guide,Alpine,5376
Physician,Medicine,2122
Engineer,Engineering,1432
Student,Student,949
Alpinist,Alpine,786
Teacher,Education,636
Attorney,Law,492
Alpine instructor,Alpine,374
Mechanical engineer,Engineering,373
Photographer,Arts,371
Electrician,Trade,362
Electrical engineer,Engineering,358
Carpenter,Trade,358
Office worker,Office,349
Civil engineer,Engineering,338
Technician,Trade,335
Architect,Architecture,315
Nurse,Medicine,308
Businessman,Business,303
Firefighter,Government,267
Cameraman,Arts,262
Geologist,Science,241
Housewife,Home,227
Journalist,Media,213
Mechanic,Trade,208
Police officer,Government,200
Farmer,Agriculture,188
Accountant,Office,180
Economist,Business,176
Ski instructor,Alpine,175
Dentist,Medicine,167
Computer programmer,Computer,165
Banker,Banking,165
Electronics engineer,Engineering,164
Physiotherapist,Medicine,164
Professional alpinist,Alpine,159
University student,Student,149
Surgeon,Medicine,149
Computer engineer,Computer,143
Civil servant,Government,130
Salesman,Sales,120
Physicist,Science,116
Alpine guide & ski instructor,Alpine,112
Retired,Retired,112
Chemical engineer,Engineering,110
Secretary,Office,109
Truck driver,Trade,104
Builder,Trade,102
Travel agent,Office,100
Clerk,Office,100
Construction worker,Trade,97
Bank employee,Banking,96
Construction engineer,Engineering,96
Pharmacist,Medicine,96
Manager,Business,93
Management consultant,Business,90
Software engineer,Computer,89
Medical student,Student,89
Sports instructor,Fitness,87
High school teacher,Education,87
Film-maker,Arts,86
Shopkeeper,Business owner,85
Biologist,Science,84
Veterinarian,Medicine,76
Worker on tall buildings,Trade,76
Forester,Trade,75
School teacher,Education,75
Plumber,Trade,74
Psychologist,Medicine,73
Surveyor,Trade,73
High-altitude porter,Nepal,72
Gardener,Trade,71
Chemist,Science,69
Trekking guide,Travel,68
Restaurant owner,Food,67
Social worker,Government,66
Pilot,Airline,65
Computer operator,Computer,64
Factory worker,Trade,64
Expedition organizer & leader,Travel,62
Writer,Arts,62
Electrical technician,Trade,61
Real estate agent,Real estate,59
House painter,Trade,59
