,PEAKID,countssummits,countsdeaths,ratio,PKNAME,PKNAME2,LOCATION,HEIGHTM,HEIGHTF,HIMAL,REGION,OPEN,UNLISTED,TREKKING,TREKYEAR,RESTRICT,PHOST,PSTATUS,PEAKMEMO,PYEAR,PSEASON,PEXPID,PSMTDATE,PCOUNTRY,PSUMMITERS,PSMTNOTE,REFERMEMO,PHOTOMEMO
24,EVER,8219,290,0.0352840978221,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8850,29035,12,2,True,False,False,,,4,2,,1953.0,1,EVER53101,May 29,"New Zealand, India","Edmund Hillary, Tenzing Norgay Sherpa",,,
19,DHA1,537,83,0.154562383613,Dhaulagiri I,,Dhaulagiri Himal,8167,26795,4,6,True,False,False,,,1,2,,1960.0,1,DHA160101,May 13,"Switzerland, Austria, W Germany, Nepal","Peter Diener, Kurt Diemberger, Albin Schelbert, Ernst Forrer, Nima Dorje Sherpa, Nawang Dorje Sherpa",,,
58,MANA,1132,82,0.0724381625442,Manaslu,"Kutang I, Peak 30",Manaslu Himal,8163,26781,15,4,True,False,False,,,1,2,,1956.0,1,MANA56101,May 09,"Japan, Nepal","Toshio Imanishi, Gyaltsen Norbu Sherpa",,,
1,ANN1,261,71,0.272030651341,Annapurna I,,Annapurna Himal,8091,26545,1,5,True,False,False,,,1,2,,1950.0,1,ANN150101,Jun 03,France,"Maurice Herzog, Louis Lachenal",,,
16,CHOY,3666,50,0.0136388434261,Cho Oyu,,Khumbu Himal (NW of Everest on Tibetan border),8188,26864,12,2,True,False,False,,,4,2,,1954.0,3,CHOY54301,Oct 19,"Austria, Nepal","Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama",,,
44,KANG,328,48,0.146341463415,Kangchenjunga,,Kangchenjunga Himal,8586,28169,9,1,True,False,False,,,5,2,,1955.0,1,KANG55101,May 25,UK,"George Band, Joe Brown",,,
57,MAKA,462,43,0.0930735930736,Makalu,,Makalu Himal,8485,27838,14,2,True,False,False,,,4,2,,1955.0,1,MAKA55101,May 15,France,"Jean Couzy, Lionel Terray",,,
67,PUMO,503,42,0.0834990059642,Pumori,,Khumbu Himal (WNW of Everest on Tibetan border),7138,23419,12,2,True,False,False,,,4,2,,1962.0,1,PUMO62101,May 17,"W Germany, Switzerland","Gerhard Lenser, Ernst Farrer, Ueli Huerlemann, Hans Ruetzel",,,
0,AMAD,3854,28,0.00726517903477,Ama Dablam,Amai Dablang,Khumbu Himal,6814,22356,12,2,True,False,False,,,1,2,,1961.0,1,AMAD61101,Mar 13,"New Zealand, USA, UK","Mike Gill, Wally Romanes, Barry Bishop, Michael Ward",,,
53,LHOT,677,19,0.0280649926145,Lhotse,,Khumbu Himal,8516,27940,12,2,True,False,False,,,4,2,,1956.0,1,LHOT56101,May 18,Switzerland,"Fritz Luchsinger, Ernst Reiss",,,
